

Team: Liverpool
A_Becker,V_VanDijk,I_Konate,A_Arnold,A_Robertson,Jarell_Quansah,A_MacAllister,D_Szoboszlai,W_Endo,Ryan_Gravenberch,M_Salah,D_Nunez,L_Diaz,C_Gakpo,Diogo_Jota,Result
1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,Loss
1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,Win
1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,Win
1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,Draw
1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,Win
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,Win
1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,Draw
1,0,1,1,0,1,1,0,1,0,1,0,1,1,0,Win
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loss
1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,Win
1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,Draw
1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,Win
1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,Win
1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,Draw
1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,Loss
1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,Win
1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,Win
1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,Win

Team: Liverpool
A_Becker,V_VanDijk,I_Konate,A_Arnold,A_Robertson,Jarell_Quansah,A_MacAllister,D_Szoboszlai,W_Endo,Ryan_Gravenberch,M_Salah,D_Nunez,L_Diaz,C_Gakpo,Diogo_Jota,Result
1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,Win
1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,Win
1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,Draw
1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,Win
1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,Loss
1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,Win
1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,Win
1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,Win
1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,Draw
1,0,1,1,0,1,1,0,1,1,1,1,0,0,0,Win
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loss
1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,Win
1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,Win
1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,Draw
1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,Win
1,1,1,1,0,1,1,1,1,0,1,1,0,1,0,Win
1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,Loss
1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,Win
1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,Win
1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,Win

Team: PSG
G_Donnarumma,M_Skriniar,Marquinhos,L_Hernandez,A_Hakimi,Nuno_Mendes,Vitinha,M_Ugarte,Fabian,W_Zaire_Emery,Carlos_Soler,K_Mbappe,O_Dembele,R_Kolo_Muani,Goncalo_Ramos,Result
1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,Win
1,1,1,0,1,1,1,1,0,1,0,1,1,0,1,Win
1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,Draw
1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,Win
1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,Win
1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,Draw
1,0,1,1,1,1,0,1,0,1,1,0,1,0,1,Loss
1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,Win
1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,Draw
1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,Win
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Win
1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,Win
1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,Win
1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,Draw
1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,Loss
1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,Win
1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,Win
1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,Win
1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,Draw
1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,Win

Team: Manchester United
A_Onana,L_Martinez,R_Varane,L_Shaw,H_Maguire,D_Dalot,Casemiro,B_Fernandes,M_Mount,S_Amrabat,C_Eriksen,M_Rashford,A_Garnacho,H_Hojlund,A_Martial,Result
1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,Win
1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,Draw
1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,Loss
1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,Win
1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,Win
1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,Draw
1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,Win
1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,Win
1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,Win
1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,Draw
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Loss
1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,Win
1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,Win
1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,Draw
1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,Loss
1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,Win
1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,Win
1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,Win
1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,Draw
1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,Win

Team: Real Madrid
T_Courtois,E_Militao,A_Rudiger,D_Carvajal,D_Alaba,F_Mendy,L_Modric,T_Kroos,F_Valverde,J_Bellingham,E_Camavinga,A_Tchouameni,V_Junior,Rodrygo,Joselu,Result
1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,Win
1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,Draw
1,0,1,1,0,1,0,1,1,0,0,1,1,1,1,Win
1,1,0,1,1,0,1,0,1,1,1,1,0,1,0,Win
1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,Win
1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,Draw
1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,Win
1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,Win
1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,Draw
1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,Win
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Win
1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,Win
1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,Win
1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,Draw
1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,Win
1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,Win
1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,Win
1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,Draw
1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,Win
1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,Win

Team: Bayern Munich
M_Neuer,M_DeLigt,D_Upamecano,A_Davies,K_Min_Jae,N_Mazraoui,J_Kimmich,L_Goretzka,J_Musiala,K_Laimer,R_Guerreiro,L_Sane,S_Gnabry,H_Kane,T_Muller,Result
1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,Win
1,1,1,0,1,1,1,1,0,1,1,1,0,0,1,Draw
1,0,1,1,0,1,0,1,1,1,0,0,1,1,1,Win
1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,Win
1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,Loss
1,1,1,0,1,1,1,1,0,0,0,1,1,0,0,Win
1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,Win
1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,Win
1,1,0,0,1,1,0,1,0,1,1,0,0,1,1,Draw
1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,Win
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Win
1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,Draw
1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,Win
1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,Win
1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,Loss
1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,Win
1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,Win
1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,Draw
1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,Win
1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,Win

Team: Juventus
W_Szczesny,M_Perin,Danilo,Bremer,Alex_Sandro,T_Weah,D_Rugani,M_Locatelli,A_Rabiot,F_Miretti,N_Fagioli,S_Mckennie,F_Kostic,D_Vlahovic,M_Kean,Result
1,0,1,1,1,0,0,1,1,1,0,1,1,1,0,Draw
1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,Loss
1,0,1,1,0,1,1,0,1,1,0,1,1,1,0,Win
1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,Win
1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,Draw
1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,Win
1,1,0,1,1,1,0,0,1,1,1,0,1,1,0,Win
1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,Loss
1,1,0,0,1,1,0,1,0,1,1,1,0,1,1,Draw
1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,Win
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Win
1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,Loss
1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,Draw
1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,Win
1,0,0,1,1,1,0,0,1,1,1,0,0,0,1,Win
1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,Draw
1,1,0,1,1,0,1,0,0,1,1,0,1,1,0,Win
1,0,1,0,1,1,0,1,1,0,1,1,0,1,1,Loss
1,0,0,1,0,0,1,1,0,1,0,1,1,0,1,Win
1,1,1,0,1,0,1,1,1,0,0,1,1,1,0,Win
